Used_ID,Iso,CON1,CON2,CON3,CON4,CON5,HF1,HF2,HF3,HF4,HF5
2-Aminobutyrate,2-Aminobutyrate,2318883,2463534,1512362,1073634,2938774,1138461,1401453,816813,1743590,2723428
2-HG,2-HG,26436318,41567248,41222740,21034094,20987998,21810658,21262222,19072442,27105744,27904272
3-Phosphoglycerate,3-Phosphoglycerate,11364195,9948223,4046128,2745471,18652834,3591917,4482392,3858738,3441153,5876222
4-Hydroxyphenyllactate,4-Hydroxyphenyllactate,975423,1641064,601281,630220,1253843,335322,446759,299201,473019,629351
5-Oxoproline,5-Oxoproline,8201308,14299907,98414616,13157799,10098715,22827310,10974579,12221367,8573635,10338323
5'-Methylthioadenosine,5'-Methylthioadenosine,19770308,25217430,16640909,14046651,37315164,10452160,13282155,8683471,15140340,21772734
6-Phosphogluconate,6-Phosphogluconate,1546072,991905,779376,1829045,4458647,998839,972807,412302,838005,779555
a-Ketoglutarate,a-Ketoglutarate,2837689,3215903,1231555,1919973,2171504,4129798,7291966,4066585,6535816,7108630
Acetyl-CoA,Acetyl-CoA,247095,331206,100145,127992,249109,58635,122645,155324,92619,63745
Acetylcarnitine,Acetylcarnitine,1065032384,884028608,516312672,674988352,1034791168,610839616,656451328,494573536,645636864,662383680
Acetylcholine,Acetylcholine,477855,524780,147445,138736,4271006,247297,216865,57506,183952,381513
Aconitate,Aconitate,4246246,3548661,2288089,2762650,6673484,3067970,3833000,2970266,3634035,3774911
Adenine,Adenine,16884342,11673407,4542990,4349422,30894838,4503248,3344791,3680733,4799610,10152459
Adenosine,Adenosine,448289536,285453568,162616704,117811328,1781075968,122524152,108100448,166938096,84222040,105767272
ADP,ADP,37010528,54336716,13961741,16816112,40160008,39365168,32863158,20068840,41936860,39117076
Alanine,Alanine,117816512,64447204,65061060,61192316,109367320,72255560,64483524,46199116,68693920,114008888
Alanine,Std,1549356,1717964,1781711,1644857,1280098,1633529,1501565,1073200,1571780,1453336
AMP,AMP,198612144,235264768,163829264,176984400,179006032,145061824,147749872,130996736,169519536,206165200
Arginine,Arginine,39440716,36305640,45114756,18075776,44925760,19889428,14967312,15016904,22906992,27179402
Arginine,Std,5242355,5051862,5212378,5343002,5156184,5107144,5173990,3952473,5073798,5234782
Argininosuccinate,Argininosuccinate,253525,203809,196235,48816,350208,68283,122515,100545,131278,131087
Ascorbic acid,Ascorbic acid,6834750,195942,0,0,170442304,0,0,0,0,3981385
Asparagine,Asparagine,36993728,52082048,23812490,21895632,34123396,21442220,18089756,13960843,23766488,31225408
Aspartate,Aspartate,94617096,109343936,71076144,66214816,71956096,108548840,118194152,93735208,128010680,115223032
Aspartate,Std,2970432,2838900,3877847,4132148,1710484,4068813,4040308,3652591,3726754,3368208
ATP,ATP,1217929,2584764,309842,497141,3888131,2483164,2401540,1327418,2415147,1849432
Carnitine,Carnitine,889247232,889378240,447836000,488459520,4510354944,381369312,285330016,252774832,409759072,596592576
CDP,CDP,961670,1783056,143995,352642,387559,2451143,1946672,893426,3146258,2284603
CDP-choline,CDP-choline,14502728,18683074,8347686,8543399,20501994,1178872,838814,727667,1669306,2892975
CDP-ethanolamine,CDP-ethanolamine,6651364,10259701,4343184,5812778,6204636,3837534,3110787,2492547,5012104,7591732
Choline,Choline,135680016,106449080,66513084,59834912,267263600,50645404,47869180,40017884,48078476,86144400
Citrate,Citrate,270735936,265736752,195466992,203799040,265192080,197228160,265406592,231002832,262050352,289901536
Citrulline,Citrulline,51077652,58852164,28560294,21655768,60958924,28267082,18997976,12763165,29241592,41512296
