Used_ID,Iso,CON1,CON2,CON3,CON4,CON5,HF1,HF2,HF3,HF4,HF5
2-Aminobutyrate,2-Aminobutyrate,2566589,3651527,3569137,2041944,2123910,2191535,2642019,2887683,3749460,3156511
2-HG,2-HG,15284076,14864811,12376008,15649308,14233221,10335116,14472148,12619257,14287384,10177011
3-Phosphoglycerate,3-Phosphoglycerate,5028376,3486946,3313461,2872264,2945667,3226441,2712739,2309162,3965544,2116837
4-Hydroxyphenyllactate,4-Hydroxyphenyllactate,1957206,1002517,1311657,1626993,772321,1005190,1024542,1043315,1493962,713692
5-Oxoproline,5-Oxoproline,21485434,13451072,14480860,11010073,10872448,12329868,11469812,10579237,13625163,14195111
5'-Methylthioadenosine,5'-Methylthioadenosine,31902976,19885768,14368068,17701018,23106962,18996222,19619594,14419309,17716262,21857478
6-Phosphogluconate,6-Phosphogluconate,5998514,4492950,3622700,3356640,3765417,1751155,2358155,1946466,2163038,1386595
a-Ketoglutarate,a-Ketoglutarate,486155,297595,302516,308087,205045,284601,502282,352134,317988,199644
Acetyl-CoA,Acetyl-CoA,1998856,1763383,1663351,1789020,2539848,2725136,2032998,1555610,3050954,3543757
Acetylcarnitine,Acetylcarnitine,363331168,359880736,332642976,345542144,268188528,265905104,251928768,280008224,321748608,260775664
Aconitate,Aconitate,1750258,1351282,1763728,1467139,1450217,1448232,1362089,1462617,3217771,1823436
Adenine,Adenine,7427908,4977122,4222952,5416866,3405369,5426956,4964020,4263430,5769390,5469928
Adenosine,Adenosine,137153520,143253968,145666928,108477120,134771056,95990216,136481280,100054856,119605736,85047048
ADP,ADP,60761588,58719180,34220624,35743324,57178992,57406108,60121300,40583636,43620780,50498492
Alanine,Alanine,144462080,95455240,120589144,109486696,118944640,97836120,108890392,101419000,107995464,109394464
Alanine,Std,1163227,1112532,1169772,1168951,1055822,1296677,1056830,1114191,1055431,1106284
AMP,AMP,203585152,194281904,151268208,154132816,153572304,175268624,162051552,153767680,187779920,166658688
Arginine,Std,4110055,5188631,4035830,4253354,4489634,4493500,4376978,4697912,4173718,4550558
Argininosuccinate,Argininosuccinate,272460,219393,280942,224699,180295,350914,184902,82686,149280,236211
Ascorbic acid,Ascorbic acid,327575712,219316880,304470368,299086368,277900000,279851040,275319456,224974336,323392416,340726240
Asparagine,Asparagine,19887464,14262973,16788790,17874798,14682264,17481270,14419835,14668317,23190462,20245526
Aspartate,Aspartate,64321408,69709784,71355040,49975636,62182092,60531200,59026036,55228356,52226220,73454392
Aspartate,Std,5018338,4446742,4833031,6016560,5578800,5644296,5377886,5517910,6077680,5472826
ATP,ATP,3835977,3883552,1802222,1691528,4248209,4525960,4207685,1942652,2588137,2768666
Carnitine,Carnitine,112170776,114854584,91563208,101755960,84590520,80382488,79478016,86270360,93543168,69399328
CDP,CDP,111188,190354,113925,0,246200,196827,159790,121704,106632,90723
CDP-choline,CDP-choline,13514776,7337466,10296732,10689240,7369212,11493069,9520028,8435851,10409855,11034351
CDP-ethanolamine,CDP-ethanolamine,4923318,3738996,3892738,3557897,3323571,4935306,3814511,3603384,5605778,5392061
Choline,Choline,22476182,9681208,18454502,19366750,11943001,40145572,27577926,32344274,46700556,47651712
Citrate,Citrate,84217448,60053804,82970856,67592320,57864660,55618060,53826932,51406348,48285196,40823248
Citrulline,Citrulline,6980220,6957782,9118609,3452407,4821396,6555584,3731273,4982536,7249714,4349774
CMP,CMP,6133372,5681006,3739635,4020186,4770558,4296268,4396952,3222105,4538969,4593764
CoA,CoA,619830,504070,499699,695250,515856,755455,643390,577468,899698,771448
Creatine,Creatine,176945872,185354736,212675056,132126184,145606000,162890032,105351232,96188088,137807984,140037200
Creatinine,Creatinine,14772227,16655307,14482032,13212095,13790552,14118989,14539591,15308000,19884826,28146250
CTP,CTP,0,0,0,0,0,17280,20372,0,0,0
Cystathionine,Cystathionine,943112,846829,988111,651484,634741,545601,476077,739347,1624678,540051
Cytidine,Cytidine,2717810,3015707,1924749,1917608,1714149,2038289,2040187,1775365,2154001,2356100
Cytosine,Cytosine,608364,760703,553315,425028,574481,560074,2050198,425208,458063,692365
dCDP,dCDP,0,0,19839,0,20061,0,0,0,0,0
dCMP,dCMP,405335,298914,372906,94428,0,0,178637,183213,119322,0
Deoxyadenosine,Deoxyadenosine,776620,790948,774070,642362,769033,736128,842966,829549,770954,709428
Deoxycytidine,Deoxycytidine,533833,549306,520524,353726,478215,565615,456878,442520,480341,504920
